0,0,11503
0,1,-123
0,2,2386
0,3,337
0,4,-115
0,5,0
0,6,0
1,1,12048
1,2,17048
1,3,3051
1,4,1481
1,5,330
1,6,134
2,2,-3880
2,3,-896
2,4,-381
2,5,-207
2,6,-66
3,3,866
3,4,609
3,5,322
3,6,214
4,4,148
4,5,242
4,6,-345
5,5,-119
5,6,-73
6,6,14

0,0,2736
0,1,103
0,2,122
0,3,-108
0,4,-90
0,5,0
0,6,0
1,1,2569
1,2,9914
1,3,281
1,4,22
1,5,9
1,6,18
2,2,-324
2,3,122
2,4,-52
2,5,15
2,6,-41
3,3,-3
3,4,34
3,5,97
3,6,-161
4,4,69
4,5,21
4,6,-85
5,5,16
5,6,61
6,6,5

0,0,2727
0,1,145
0,2,141
0,3,-132
0,4,11
0,5,0
0,6,0
1,1,2638
1,2,9147
1,3,80
1,4,37
1,5,3
1,6,1
2,2,-437
2,3,-20
2,4,65
2,5,-3
2,6,21
3,3,-29
3,4,-36
3,5,28
3,6,54
4,4,-134
4,5,-30
4,6,-46
5,5,14
5,6,-60
6,6,-13
